count,date
25,2013-08-04 00:00:00
41,2013-08-05 00:00:00
62,2013-08-06 00:00:00
59,2013-08-07 00:00:00
86,2013-08-08 00:00:00
44,2013-08-09 00:00:00
18,2013-08-10 00:00:00
21,2013-08-11 00:00:00
239,2013-08-12 00:00:00
140,2013-08-13 00:00:00
66,2013-08-14 00:00:00
93,2013-08-15 00:00:00
70,2013-08-16 00:00:00
47,2013-08-17 00:00:00
32,2013-08-18 00:00:00
121,2013-08-19 00:00:00
132,2013-08-20 00:00:00
64,2013-08-21 00:00:00
61,2013-08-22 00:00:00
35,2013-08-23 00:00:00
20,2013-08-24 00:00:00
42,2013-08-25 00:00:00
81,2013-08-26 00:00:00
113,2013-08-27 00:00:00
156,2013-08-28 00:00:00
43,2013-08-29 00:00:00
51,2013-08-30 00:00:00
25,2013-08-31 00:00:00
16,2013-09-01 00:00:00
42,2013-09-02 00:00:00
42,2013-09-03 00:00:00
37,2013-09-04 00:00:00
46,2013-09-05 00:00:00
20,2013-09-06 00:00:00
13,2013-09-07 00:00:00
20,2013-09-08 00:00:00
33,2013-09-09 00:00:00
36,2013-09-10 00:00:00
38,2013-09-11 00:00:00
19,2013-09-12 00:00:00
29,2013-09-13 00:00:00
21,2013-09-14 00:00:00
16,2013-09-15 00:00:00
45,2013-09-16 00:00:00
36,2013-09-17 00:00:00
23,2013-09-18 00:00:00
82,2013-09-19 00:00:00
107,2013-09-20 00:00:00
13,2013-09-21 00:00:00
21,2013-09-22 00:00:00
44,2013-09-23 00:00:00
39,2013-09-24 00:00:00
49,2013-09-25 00:00:00
62,2013-09-26 00:00:00
51,2013-09-27 00:00:00
17,2013-09-28 00:00:00
10,2013-09-29 00:00:00
30,2013-09-30 00:00:00
48,2013-10-01 00:00:00
418,2013-10-02 00:00:00
459,2013-10-03 00:00:00
163,2013-10-04 00:00:00
57,2013-10-05 00:00:00
92,2013-10-06 00:00:00
96,2013-10-07 00:00:00
127,2013-10-08 00:00:00
93,2013-10-09 00:00:00
45,2013-10-10 00:00:00
42,2013-10-11 00:00:00
23,2013-10-12 00:00:00
17,2013-10-13 00:00:00
47,2013-10-14 00:00:00
52,2013-10-15 00:00:00
58,2013-10-16 00:00:00
58,2013-10-17 00:00:00
46,2013-10-18 00:00:00
22,2013-10-19 00:00:00
13,2013-10-20 00:00:00
46,2013-10-21 00:00:00
51,2013-10-22 00:00:00
64,2013-10-23 00:00:00
75,2013-10-24 00:00:00
86,2013-10-25 00:00:00
92,2013-10-26 00:00:00
49,2013-10-27 00:00:00
89,2013-10-28 00:00:00
178,2013-10-29 00:00:00
272,2013-10-30 00:00:00
170,2013-10-31 00:00:00
63,2013-11-01 00:00:00
29,2013-11-02 00:00:00
56,2013-11-03 00:00:00
141,2013-11-04 00:00:00
156,2013-11-05 00:00:00
209,2013-11-06 00:00:00
249,2013-11-07 00:00:00
178,2013-11-08 00:00:00
64,2013-11-09 00:00:00
43,2013-11-10 00:00:00
78,2013-11-11 00:00:00
190,2013-11-12 00:00:00
110,2013-11-13 00:00:00
116,2013-11-14 00:00:00
139,2013-11-15 00:00:00
58,2013-11-16 00:00:00
89,2013-11-17 00:00:00
440,2013-11-18 00:00:00
816,2013-11-19 00:00:00
309,2013-11-20 00:00:00
335,2013-11-21 00:00:00
295,2013-11-22 00:00:00
192,2013-11-23 00:00:00
125,2013-11-24 00:00:00
224,2013-11-25 00:00:00
174,2013-11-26 00:00:00
509,2013-11-27 00:00:00
470,2013-11-28 00:00:00
387,2013-11-29 00:00:00
136,2013-11-30 00:00:00
